Tipo;Categoria / Grupo;Nome do Item / Sabor;Descrição;Preço (R$);Disponível;Grupos Vinculados;Foto URL
"PRODUTO";"Combos de Pizza";"Pizza Grande + Pizza Pequena (Doce) + Refrigerante 2L";"Acompanha 1 Pizza Grande de 12 fatias e até 3 sabores + Pizza Pequena Doce de 6 fatias e até 2 sabores + Refrigerante 2L a sua escolha.";"108,80";"Sim";"";""
"PRODUTO";"Combos de Pizza";"Pizza Familia + Pizza Pequena (Doce) + Refrigerante 2L";"Acompanha 1 Pizza Familia de 16 fatias e até 4 sabores + Pizza Pequena Doce de 6 fatias e até 2 sabores + Refrigerante 2L a sua escolha.";"121,55";"Sim";"";""
"PRODUTO";"Combos de Pizza";"Pizza Gigante + Pizza Pequena (Doce) + Refrigerante 2L - Cópia";"Acompanha 1 Pizza Gigante de 20 fatias e até 4 sabores + Pizza Pequena Doce de 6 fatias e até 2 sabores + Refrigerante 2L a sua escolha.";"134,30";"Sim";"";""
"PRODUTO";"Pizzas";"Pequena 25cm";"Pizza com até 2 sabores e 6 fatias";"0,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1748655271281blob"
"PRODUTO";"Pizzas";"Média 30cm";"Pizza com até 2 sabores e 8 fatias";"0,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1748655271306blob"
"PRODUTO";"Pizzas";"Grande 35cm";"Pizza com até 3 sabores e 12 fatias";"0,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1748655271410blob"
"PRODUTO";"Pizzas";"Famiia 40cm";"Pizza com até 4 sabores e 16 fatias";"0,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1748655271434blob"
"PRODUTO";"Pizzas";"Gigante 45cm";"Pizza com até 4 sabores e 20 fatias";"0,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1748655271190blob"
"PRODUTO";"X - Tradicional gaúcho prensado";"X-Bacon";"Pão, molho caseiro, hambúrguer artesanal 160g, ovo frito,  mussarela, presunto, bacon, alface, tomate, milho e ervilha";"30,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1779125711698blob"
"PRODUTO";"X - Tradicional gaúcho prensado";"X-Bacon com Abacaxi";"Pão, molho caseiro, hambúrguer artesanal 160g, ovo frito, mussarela, presunto,  bacon ,abacaxi picado, alface, tomate, milho e ervilha";"40,00";"Sim";"";"https://client-assets.anota.ai/produtos/67606969295af30019b46262/-1734463495487blob"
