Grupo de Opções;Sabor / Adicional;Descrição;Preço (R$);Disponível
"[GRUPO] Adicionais";"Queijo";"";"5,00";"Sim"
"[GRUPO] Adicionais";"Calabresa";"";"5,00";"Sim"
"[GRUPO] Adicionais";"Bacon";"";"5,00";"Sim"
"[GRUPO] Adicionais";"Cheddar";"";"6,00";"Sim"
"[GRUPO] Adicionais";"Catupiry";"";"5,00";"Sim"
"[GRUPO] Adicionais";"Bacon em Fatias";"";"5,00";"Sim"
"[GRUPO] Adicionais";"Hambúrguer 160g";"";"10,00";"Sim"
"[GRUPO] Adicionais";"Ovo Frito";"";"4,00";"Sim"
"[GRUPO] Adicionais";"Cheddar";"";"6,00";"Sim"
"[GRUPO] Adicionais";"Catupiry";"";"5,00";"Sim"
"[GRUPO] Adicionais";"Mussarela";"";"4,00";"Sim"
"[GRUPO] Adicionais";"Abacaxi";"";"7,00";"Sim"
"[GRUPO] Adicionais";"Cebola na Chapa";"";"3,00";"Sim"
"[GRUPO] Adicionais";"Cebola Crispy";"";"3,50";"Sim"
"[GRUPO] Selecione o sabor";"Bacon e Queijo";"";"23,00";"Sim"
"[GRUPO] Selecione o sabor";"Brócolis com Bacon e Catupiry";"";"23,00";"Sim"
"[GRUPO] Selecione o sabor";"Brócolis com Queijo";"";"23,00";"Sim"
"[GRUPO] Selecione o sabor";"Calabresa com Queijo";"";"23,00";"Sim"
"[GRUPO] Selecione o sabor";"Calabresa com Queijo e Bacon";"";"23,00";"Sim"
"[GRUPO] Selecione o sabor";"Camarão Cremoso";"";"28,00";"Sim"
"[GRUPO] Selecione o sabor";"Carne e ovo";"";"23,00";"Sim"
"[GRUPO] Selecione o sabor";"Carne e Bacon";"";"23,00";"Sim"
"[GRUPO] Selecione o sabor";"Carne com Cheddar";"";"23,00";"Sim"
"[GRUPO] Selecione o sabor";"Carne com Queijo";"";"23,00";"Sim"
"[GRUPO] Selecione o sabor";"Carne com Queijo e Bacon";"";"23,00";"Sim"
"[GRUPO] Selecione o sabor";"Carne, Ovo e Azeitona";"";"23,00";"Sim"
"[GRUPO] Selecione o sabor";"Frango Caipira";"";"23,00";"Sim"
"[GRUPO] Selecione o sabor";"Frango com Catupiry";"";"23,00";"Sim"
"[GRUPO] Selecione o sabor";"Frango com Bacon e Queijo";"";"23,00";"Sim"
"[GRUPO] Selecione o sabor";"Frango com Queijo";"";"23,00";"Sim"
"[GRUPO] Selecione o sabor";"Napolitano";"";"23,00";"Sim"
"[GRUPO] Selecione o sabor";"Pizza";"";"23,00";"Sim"
"[GRUPO] Selecione o sabor";"Presunto e Queijo";"";"23,00";"Sim"
"[GRUPO] Selecione o sabor";"Portuguesa";"";"23,00";"Sim"
"[GRUPO] Selecione o sabor";"Queijo";"";"25,00";"Sim"
"[GRUPO] Selecione o sabor";"4 Queijos";"";"28,00";"Sim"
"[GRUPO] Selecione o sabor";"Strogonoff de Frango";"";"28,00";"Sim"
"[GRUPO] Selecione o sabor";"Strogonoff de Carne";"";"28,00";"Sim"
